id,company,order_id,order_date,shipping_fee
1,"Company A",44,"2006-03-24 00:00:00",0.0000
1,"Company A",71,"2006-05-24 00:00:00",0.0000
27,"Company AA",30,"2006-01-15 00:00:00",200.0000
27,"Company AA",57,"2006-04-22 00:00:00",200.0000
28,"Company BB",38,"2006-03-10 00:00:00",10.0000
28,"Company BB",45,"2006-04-07 00:00:00",40.0000
28,"Company BB",65,"2006-05-11 00:00:00",10.0000
28,"Company BB",72,"2006-06-07 00:00:00",40.0000
3,"Company C",36,"2006-02-23 00:00:00",7.0000
3,"Company C",63,"2006-04-25 00:00:00",7.0000
3,"Company C",81,"2006-04-25 17:26:53",0.0000
29,"Company CC",35,"2006-02-10 00:00:00",7.0000
29,"Company CC",55,"2006-04-05 00:00:00",200.0000
29,"Company CC",62,"2006-04-12 00:00:00",7.0000
29,"Company CC",78,"2006-06-05 00:00:00",200.0000
4,"Company D",31,"2006-01-20 00:00:00",5.0000
4,"Company D",34,"2006-02-06 00:00:00",4.0000
4,"Company D",58,"2006-04-22 00:00:00",5.0000
4,"Company D",61,"2006-04-07 00:00:00",4.0000
4,"Company D",80,"2006-04-25 17:03:55",0.0000
6,"Company F",37,"2006-03-06 00:00:00",12.0000
6,"Company F",47,"2006-04-08 00:00:00",300.0000
6,"Company F",56,"2006-04-03 00:00:00",0.0000
6,"Company F",64,"2006-05-09 00:00:00",12.0000
6,"Company F",74,"2006-06-08 00:00:00",300.0000
6,"Company F",79,"2006-06-23 00:00:00",0.0000
7,"Company G",41,"2006-03-24 00:00:00",0.0000
7,"Company G",68,"2006-05-24 00:00:00",0.0000
8,"Company H",33,"2006-01-30 00:00:00",50.0000
8,"Company H",39,"2006-03-22 00:00:00",5.0000
8,"Company H",48,"2006-04-05 00:00:00",50.0000
8,"Company H",60,"2006-04-30 00:00:00",50.0000
8,"Company H",66,"2006-05-24 00:00:00",5.0000
8,"Company H",75,"2006-06-05 00:00:00",50.0000
9,"Company I",46,"2006-04-05 00:00:00",100.0000
9,"Company I",73,"2006-06-05 00:00:00",100.0000
10,"Company J",40,"2006-03-24 00:00:00",9.0000
10,"Company J",42,"2006-03-24 00:00:00",0.0000
10,"Company J",67,"2006-05-24 00:00:00",9.0000
10,"Company J",69,"2006-05-24 00:00:00",0.0000
11,"Company K",43,"2006-03-24 00:00:00",0.0000
11,"Company K",70,"2006-05-24 00:00:00",0.0000
12,"Company L",32,"2006-01-22 00:00:00",5.0000
12,"Company L",59,"2006-04-22 00:00:00",5.0000
25,"Company Y",50,"2006-04-05 00:00:00",5.0000
25,"Company Y",76,"2006-06-05 00:00:00",5.0000
26,"Company Z",51,"2006-04-05 00:00:00",60.0000
26,"Company Z",77,"2006-06-05 00:00:00",60.0000
